Datetime,c0,h0,l0,o0,v0,abs(c0-o0)/abs(h0-l0),(c0-c1)/atr14,c0-c1,Spread,(h0-c0)/(h0-l0),(h0-o0)/(h0-l0),(l0-c0)/(h0-l0),(l0-o0)/(h0-l0),Profit
2019.02.11 08:10,25072.560000,25076.960000,25070.760000,25073.760000,2125.000000,0.572816,-0.164384,-1.200000,-0.020000,0.709677,0.516129,-0.290323,-0.483871,127.480000
2019.02.12 03:55,25175.370000,25176.970000,25166.570000,25166.570000,3425.000000,0.306452,0.556962,8.800000,-0.020000,0.153846,1.000000,-0.846154,0.000000,72.450000
2019.02.12 17:15,25358.970000,25359.970000,25336.570000,25337.970000,6305.000000,0.622222,0.900184,21.000000,-0.020000,0.042735,0.940171,-0.957265,-0.059829,30.730000
2019.02.13 13:15,25508.510000,25512.310000,25505.310000,25511.910000,2825.000000,0.254902,-0.351032,-3.400000,-0.020000,0.542857,0.057143,-0.457143,-0.942857,82.420000
2019.02.13 17:00,25602.110000,25605.110000,25591.910000,25604.910000,5405.000000,0.418182,-0.117253,-3.000000,-0.020000,0.227273,0.015152,-0.772727,-0.984848,-49.130000
2019.02.14 07:00,25536.850000,25536.850000,25531.450000,25535.650000,2365.000000,0.208333,0.145228,1.000000,-0.020000,0.000000,0.222222,-1.000000,-0.777778,38.000000
2019.02.14 18:35,25505.050000,25518.250000,25500.450000,25513.250000,6565.000000,0.400000,-0.297255,-8.200000,-0.020000,0.741573,0.280899,-0.258427,-0.719101,-48.800000
2019.02.15 10:40,25362.170000,25370.770000,25357.170000,25361.970000,4785.000000,0.384615,0.113033,1.400000,-0.020000,0.632353,0.647059,-0.367647,-0.352941,506.720000
2019.02.19 16:25,25864.850000,25887.850000,25863.850000,25885.850000,5505.000000,0.350000,-1.081588,-21.400000,-0.020000,0.958333,0.083333,-0.041667,-0.916667,19.150000
2019.02.19 21:25,25940.850000,25956.450000,25936.850000,25954.850000,3985.000000,0.890909,-1.071038,-14.000000,-0.020000,0.795918,0.081633,-0.204082,-0.918367,-49.850000
2019.02.20 15:35,25899.660000,25912.660000,25892.660000,25898.660000,10065.000000,0.375000,0.406143,3.400000,-0.020000,0.650000,0.700000,-0.350000,-0.300000,-3.050000
2019.02.20 20:00,25947.660000,25966.660000,25942.660000,25962.660000,5645.000000,0.700000,-0.895141,-15.000000,-0.020000,0.791667,0.166667,-0.208333,-0.833333,-49.530000
2019.02.21 04:05,26025.100000,26036.700000,26021.500000,26033.100000,5505.000000,0.973154,-0.698254,-8.000000,-0.020000,0.763158,0.236842,-0.236842,-0.763158,6.500000
2019.02.22 07:45,25858.510000,25861.310000,25856.110000,25861.310000,2285.000000,0.125000,-0.306397,-2.600000,-0.020000,0.538462,0.000000,-0.461538,-1.000000,124.000000
2019.02.22 17:30,26042.310000,26047.310000,26038.310000,26040.310000,4325.000000,0.166667,0.101376,2.000000,-0.020000,0.555556,0.777778,-0.444444,-0.222222,-49.840000
2019.02.25 01:10,26113.340000,26117.740000,26108.340000,26109.740000,4185.000000,0.053571,0.264770,4.600000,-0.020000,0.468085,0.851064,-0.531915,-0.148936,43.100000
2019.03.07 14:10,25706.410000,25708.210000,25678.210000,25681.410000,6685.000000,0.276190,1.837233,25.800000,-0.020000,0.060000,0.893333,-0.940000,-0.106667,-49.550000
2019.03.07 19:10,25528.810000,25543.810000,25516.810000,25540.410000,6965.000000,0.188235,-0.397970,-11.200000,-0.020000,0.555556,0.125926,-0.444444,-0.874074,-49.430000
2019.03.11 19:10,25611.710000,25623.510000,25605.310000,25609.510000,6505.000000,0.263158,0.116216,2.000000,-0.020000,0.648352,0.769231,-0.351648,-0.230769,60.780000
2019.03.13 09:45,25541.940000,25546.340000,25534.540000,25535.540000,3665.000000,0.884615,0.578947,6.600000,-0.020000,0.372881,0.915254,-0.627119,-0.084746,178.760000
2019.03.15 02:05,25749.390000,25753.590000,25746.990000,25748.590000,3045.000000,0.142857,0.103704,0.800000,-0.020000,0.636364,0.757576,-0.363636,-0.242424,29.700000
2019.03.15 12:05,25832.590000,25834.590000,25824.590000,25826.190000,3005.000000,0.096154,0.842718,6.200000,-0.020000,0.200000,0.840000,-0.800000,-0.160000,-16.420000
2019.03.18 04:50,25874.110000,25880.510000,25870.710000,25880.310000,2125.000000,0.750000,-0.765812,-6.400000,-0.020000,0.653061,0.020408,-0.346939,-0.979592,-19.950000
2019.03.18 13:15,25827.910000,25829.710000,25820.510000,25823.510000,3245.000000,0.878505,0.392205,4.600000,-0.020000,0.195652,0.673913,-0.804348,-0.326087,3.470000
2019.03.18 19:10,25875.510000,25879.510000,25872.510000,25877.510000,3065.000000,0.316667,-0.173267,-2.000000,-0.020000,0.571429,0.285714,-0.428571,-0.714286,119.110000
2019.03.20 09:50,25937.260000,25942.860000,25932.860000,25939.660000,3485.000000,0.700000,-0.208437,-2.400000,-0.020000,0.560000,0.320000,-0.440000,-0.680000,-49.810000
2019.03.21 16:10,25903.660000,25921.060000,25896.860000,25912.060000,10625.000000,0.775510,-0.280401,-8.400000,-0.020000,0.719008,0.371901,-0.280992,-0.628099,6.930000
2019.03.22 20:05,25684.860000,25727.860000,25683.860000,25699.860000,9605.000000,0.258427,-0.475988,-16.000000,-0.020000,0.977273,0.636364,-0.022727,-0.363636,-49.670000
2019.03.25 10:20,25503.490000,25520.490000,25503.490000,25514.690000,6905.000000,0.540984,-0.418356,-11.200000,-0.020000,1.000000,0.341176,0.000000,-0.658824,-11.800000
2019.03.26 01:15,25591.320000,25595.720000,25590.720000,25592.320000,2605.000000,0.093750,-0.081490,-1.000000,-0.020000,0.880000,0.680000,-0.120000,-0.320000,16.060000
2019.03.26 11:05,25663.720000,25671.520000,25662.920000,25664.720000,2685.000000,0.409091,-0.038182,-0.600000,-0.020000,0.906977,0.790698,-0.093023,-0.209302,59.980000
2019.03.27 05:40,25677.380000,25685.780000,25675.980000,25685.380000,2205.000000,0.185185,-0.945946,-8.000000,-0.020000,0.857143,0.040816,-0.142857,-0.959184,-12.050000
2019.03.27 14:45,25733.380000,25758.380000,25728.380000,25747.380000,11605.000000,0.114943,-0.572668,-13.200000,-0.020000,0.833333,0.366667,-0.166667,-0.633333,-49.280000
2019.03.27 19:00,25604.980000,25623.180000,25602.380000,25618.780000,6785.000000,0.600000,-0.473066,-13.800000,-0.020000,0.875000,0.211538,-0.125000,-0.788462,-7.080000
2019.03.28 04:05,25592.410000,25602.210000,25592.210000,25598.210000,3025.000000,0.125000,-0.480323,-6.800000,-0.020000,0.980000,0.400000,-0.020000,-0.600000,35.650000
2019.03.29 14:20,25880.860000,25883.660000,25870.260000,25870.860000,2925.000000,0.464286,0.777778,9.800000,-0.020000,0.208955,0.955224,-0.791045,-0.044776,-49.540000
2019.04.01 01:15,26090.380000,26100.380000,26087.380000,26097.780000,5225.000000,0.777778,-0.429662,-7.400000,-0.020000,0.769231,0.200000,-0.230769,-0.800000,6.710000
2019.04.01 19:20,26230.920000,26242.720000,26228.920000,26239.920000,4385.000000,0.337079,-0.699223,-9.000000,-0.020000,0.855072,0.202899,-0.144928,-0.797101,-8.550000
2019.04.02 20:55,26199.130000,26204.930000,26194.130000,26199.130000,4225.000000,0.111111,0.000000,0.000000,-0.020000,0.537037,0.537037,-0.462963,-0.462963,-49.670000
2019.04.03 02:45,26250.920000,26251.920000,26242.720000,26242.920000,3065.000000,0.806452,0.405210,8.000000,-0.020000,0.108696,0.978261,-0.891304,-0.021739,6.680000
2019.04.03 23:15,26291.410000,26291.410000,26282.610000,26283.410000,3005.000000,0.950000,0.677849,8.400000,-0.020000,0.000000,0.909091,-1.000000,-0.090909,-49.580000
2019.04.04 16:05,26379.010000,26388.410000,26370.410000,26383.810000,7745.000000,0.655738,-0.233622,-5.400000,-0.020000,0.522222,0.255556,-0.477778,-0.744444,12.640000
2019.04.08 08:00,26334.580000,26340.180000,26334.580000,26338.980000,2065.000000,0.157895,-0.654788,-4.200000,-0.020000,1.000000,0.214286,0.000000,-0.785714,-49.820000
2019.04.09 10:10,26322.870000,26324.870000,26319.270000,26322.870000,1645.000000,0.258065,-0.022727,-0.200000,-0.020000,0.357143,0.357143,-0.642857,-0.642857,-14.210000
2019.04.10 07:30,26195.940000,26202.140000,26195.940000,26198.940000,1945.000000,0.210526,-0.395480,-3.000000,-0.020000,1.000000,0.516129,0.000000,-0.483871,6.090000
2019.04.10 23:15,26181.830000,26185.030000,26177.230000,26179.830000,1485.000000,0.720000,0.360656,2.200000,-0.020000,0.410256,0.666667,-0.589744,-0.333333,-9.420000
2019.04.11 12:15,26218.630000,26226.230000,26215.630000,26224.630000,2765.000000,0.261905,-0.749568,-6.200000,-0.020000,0.716981,0.150943,-0.283019,-0.849057,-49.750000
2019.04.11 23:40,26166.340000,26168.140000,26164.740000,26166.540000,1065.000000,0.904762,0.000000,0.000000,-0.020000,0.529412,0.470588,-0.470588,-0.529412,244.460000
