Datetime,c0,h0,l0,o0,v0,abs(c0-o0)/abs(h0-l0),(c0-c1)/atr14,c0-c1,Spread,(h0-c0)/(h0-l0),(h0-o0)/(h0-l0),(l0-c0)/(h0-l0),(l0-o0)/(h0-l0),Profit
2020.01.31 03:20,28915.350000,28928.600000,28913.100000,28921.100000,6430.000000,0.364865,-0.232102,-5.500000,-0.020000,0.854839,0.483871,-0.145161,-0.516129,-49.340000
2020.02.03 02:55,28397.350000,28408.350000,28387.350000,28403.600000,8880.000000,0.089552,-0.290155,-7.000000,-0.020000,0.523810,0.226190,-0.476190,-0.773810,-16.660000
2020.02.03 15:30,28443.100000,28455.100000,28428.850000,28431.850000,6805.000000,0.584906,0.637744,10.500000,-0.020000,0.457143,0.885714,-0.542857,-0.114286,38.590000
2020.02.04 02:30,28453.350000,28453.600000,28440.350000,28444.350000,3655.000000,0.616667,0.534934,8.750000,-0.020000,0.018868,0.698113,-0.981132,-0.301887,225.770000
2020.02.05 10:40,29012.850000,29030.850000,28919.350000,28933.350000,22930.000000,0.839117,3.514170,77.500000,-0.020000,0.161435,0.874439,-0.838565,-0.125561,8.760000
2020.02.05 15:40,29099.100000,29114.100000,29093.600000,29110.850000,5205.000000,0.533333,-0.607522,-11.250000,-0.020000,0.731707,0.158537,-0.268293,-0.841463,173.030000
2020.02.06 13:50,29423.100000,29435.100000,29423.100000,29434.100000,4130.000000,0.086957,-0.623608,-10.000000,-0.020000,1.000000,0.083333,0.000000,-0.916667,-49.760000
2020.02.07 08:35,29375.600000,29387.600000,29374.850000,29387.100000,4505.000000,0.379747,-0.797927,-11.000000,-0.020000,0.941176,0.039216,-0.058824,-0.960784,-49.590000
2020.02.10 03:35,29043.600000,29044.850000,29006.600000,29017.100000,8755.000000,0.491525,1.242938,27.500000,-0.020000,0.032680,0.725490,-0.967320,-0.274510,5.660000
2020.02.10 17:20,29183.850000,29186.850000,29158.350000,29159.600000,7680.000000,0.566038,0.819059,24.250000,-0.020000,0.105263,0.956140,-0.894737,-0.043860,52.680000
2020.02.11 14:40,29381.850000,29394.350000,29381.850000,29390.850000,2730.000000,0.200000,-0.812287,-8.500000,-0.020000,1.000000,0.280000,0.000000,-0.720000,-4.370000
2020.02.12 01:25,29319.100000,29322.850000,29318.600000,29322.600000,1330.000000,0.600000,-0.348383,-3.500000,-0.020000,0.882353,0.058824,-0.117647,-0.941176,-49.990000
2020.02.12 08:20,29359.850000,29361.850000,29354.850000,29358.850000,1605.000000,0.425532,0.196000,1.750000,-0.020000,0.285714,0.428571,-0.714286,-0.571429,115.830000
2020.02.12 22:55,29571.600000,29572.100000,29549.600000,29549.600000,6630.000000,0.300000,1.401593,22.000000,-0.020000,0.022222,1.000000,-0.977778,0.000000,-49.210000
2020.02.13 17:00,29391.100000,29455.350000,29389.600000,29451.600000,12180.000000,0.770000,-2.433908,-60.500000,-0.020000,0.977186,0.057034,-0.022814,-0.942966,12.580000
2020.02.14 23:10,29399.350000,29410.350000,29396.350000,29401.350000,3905.000000,0.051282,-0.056795,-1.000000,-0.020000,0.785714,0.642857,-0.214286,-0.357143,29.510000
2020.02.18 07:05,29321.600000,29329.600000,29318.350000,29329.600000,3455.000000,0.318182,-1.027523,-8.000000,-0.020000,0.711111,0.000000,-0.288889,-1.000000,-49.960000
2020.02.18 21:40,29238.100000,29245.850000,29231.850000,29240.600000,5730.000000,0.947368,-0.098790,-1.750000,-0.020000,0.553571,0.375000,-0.446429,-0.625000,19.500000
2020.02.19 18:20,29381.600000,29388.600000,29376.100000,29379.600000,5755.000000,0.424242,0.109268,2.000000,-0.020000,0.560000,0.720000,-0.440000,-0.280000,-0.840000
2020.02.20 20:25,29161.350000,29170.100000,29159.100000,29159.600000,5355.000000,0.764706,0.076329,3.000000,-0.020000,0.795455,0.954545,-0.204545,-0.045455,-48.600000
2020.02.21 10:50,29077.850000,29104.600000,29077.850000,29098.600000,6830.000000,0.262136,-0.684783,-18.000000,-0.020000,1.000000,0.224299,0.000000,-0.775701,-9.460000
2020.02.24 21:45,28115.600000,28121.350000,28090.850000,28107.350000,9280.000000,0.541667,0.179408,7.250000,-0.020000,0.188525,0.459016,-0.811475,-0.540984,0.650000
2020.02.25 14:55,28150.350000,28155.350000,28123.600000,28141.850000,9955.000000,0.782051,0.261529,8.000000,-0.020000,0.157480,0.425197,-0.842520,-0.574803,-49.540000
2020.02.26 10:15,27244.100000,27270.100000,27232.350000,27262.600000,11255.000000,0.321839,-0.424064,-18.000000,-0.020000,0.688742,0.198675,-0.311258,-0.801325,-49.950000
